latitude;longitude;altitude;;;;
54.5753366667,;-1.237265,;83;;;;
54.5753416667,;-1.2372716667,;83;;;;
54.5753483333,;-1.2372833333,;84;;;;
54.5753566667,;-1.2373016667,;84;;;;
54.57536,;-1.2373233333,;84;;;;
54.575365,;-1.237345,;85;;;;
54.5753716667,;-1.2373616667,;86;;;;
54.5753766667,;-1.2373766667,;86;;;;
54.5753833333,;-1.2373916667,;86;;;;
54.57539,;-1.2374066667,;85;;;;
54.575395,;-1.2374333333,;85;;;;
54.5754033333,;-1.2374666667,;85;;;;
54.575405,;-1.2374916667,;86;;;;
54.5754116667,;-1.2375166667,;86;;;;
54.5754266667,;-1.2375516667,;87;;;;
54.5754283333,;-1.2375783333,;86;;;;
54.5754366667,;-1.2376083333,;88;;;;
54.5754466667,;-1.237625,;89;;;;
54.5754583333,;-1.2376366667,;89;;;;
54.575465,;-1.237655,;88;;;;
54.5754683333,;-1.237675,;88;;;;
54.575475,;-1.2376966667,;89;;;;
54.5754833333,;-1.2377216667,;89;;;;
54.5754783333,;-1.237745,;90;;;;
54.575475,;-1.2377716667,;91;;;;
54.5754716667,;-1.2378016667,;91;;;;
54.5754633333,;-1.2378383333,;92;;;;
54.5754566667,;-1.2378683333,;92;;;;
54.57546,;-1.2379116667,;92;;;;
54.5754633333,;-1.2379466667,;92;;;;
54.5754583333,;-1.2379633333,;92;;;;
54.5754633333,;-1.23799,;92;;;;
54.5754633333,;-1.2380283333,;92;;;;
54.5754616667,;-1.2380466667,;93;;;;
54.5754616667,;-1.238065,;93;;;;
54.575455,;-1.23808,;91;;;;
54.5754483333,;-1.2380933333,;91;;;;
54.5754383333,;-1.2381133333,;90;;;;
54.5754166667,;-1.2381333333,;89;;;;
54.5753916667,;-1.2381583333,;88;;;;
54.57538,;-1.2381783333,;87;;;;
54.5753733333,;-1.2382083333,;87;;;;
54.5753733333,;-1.2382533333,;84;;;;
54.5753783333,;-1.2382816667,;83;;;;
54.5753733333,;-1.23829,;83;;;;
54.5753716667,;-1.2383033333,;84;;;;
54.5753716667,;-1.2383083333,;83;;;;
54.5753766667,;-1.2383133333,;83;;;;
54.575375,;-1.238325,;83;;;;
54.57538,;-1.2383383333,;83;;;;
54.5753783333,;-1.2383466667,;83;;;;
54.5753783333,;-1.2383583333,;83;;;;
54.5753766667,;-1.2383733333,;83;;;;
54.57538,;-1.2383866667,;83;;;;
54.5753883333,;-1.2384033333,;83;;;;
54.5754,;-1.23842,;83;;;;
54.57542,;-1.23842,;83;;;;
54.575435,;-1.2384366667,;83;;;;
54.5754433333,;-1.2384533333,;84;;;;
54.5754583333,;-1.2384666667,;84;;;;
54.5754683333,;-1.2384916667,;85;;;;
54.5754733333,;-1.238515,;85;;;;
54.5754533333,;-1.2385516667,;85;;;;
54.57545,;-1.2385783333,;85;;;;
54.5754283333,;-1.2386116667,;85;;;;
54.5754083333,;-1.2386316667,;85;;;;
54.5753966667,;-1.2386533333,;85;;;;
54.57539,;-1.2386766667,;86;;;;
54.57537,;-1.2387033333,;86;;;;
54.5753633333,;-1.2387266667,;84;;;;
54.575355,;-1.238755,;84;;;;
54.575345,;-1.2387733333,;85;;;;
54.5753333333,;-1.23878,;86;;;;
54.575325,;-1.2387933333,;86;;;;
54.5753516667,;-1.2388366667,;86;;;;
54.5753666667,;-1.23887,;86;;;;
54.5753683333,;-1.2388883333,;85;;;;
54.5753783333,;-1.2389116667,;85;;;;
54.575385,;-1.2389333333,;84;;;;
54.5754033333,;-1.238955,;84;;;;
